,Image,Collection,Production,Date,Occasion,Multiple bill,Performances_ID,Normalised title,Original language,Composer,Original premiere,Original title,genre,Season,Directors,Title_Language,Leaflet_Language,Opmerking
2509,1923-1924_00407-20220207_155707.jpg,1923-1924,Hoffmann's Vertellingenen,1924-04-12,,False,122075,Hoffmann's Vertellingen,FR,Jacques Offenbach,1881,Les contes d'Hoffmann,opéra fantastique,1923-1924,Fé Derickx & Bernard Tokkie,NL,,
2510,1923-1924_00409-20220207_155720.jpg,1923-1924,Tristan en Isolde,1924-04-13,Volgens een nota is deze voorstelling vervangen door de Walkure,False,922293,Tristan en Isolde,DUI,Richard Wagner,1860,Tristan und Isolde,gesamtkunstwerk,1923-1924,Fé Derickx & Bernard Tokkie,NL,,
2511,1923-1924_00411-20220207_155734.jpg,1923-1924,Dansenreeks,1913-04-13,,False,933131,Dansenreeks,?,?,?,Dansenreeks,ballet,1912-1913,Fé Derickx & Bernard Tokkie,NL,,
2512,1923-1924_00411-20220207_155734.jpg,1923-1924,Poppenliefde,1913-04-13,,False,585843,Poppenliefde,,James Ensor,1924,Poppenliefde,ballet,1912-1913,Fé Derickx & Bernard Tokkie,NL,,
2513,1923-1924_00411-20220207_155734.jpg,1923-1924,Het Minnebrugje,1913-04-13,,False,481649,Het Minnebrugje,NL,Arthur Van Oost,?,Het Minnebrugje,zangspel,1912-1913,Fé Derickx & Bernard Tokkie,NL,,
2514,1923-1924_00413-20220207_155748.jpg,1923-1924,Tristan en Isolde,1924-04-15,,False,439059,Tristan en Isolde,DUI,Richard Wagner,1860,Tristan und Isolde,gesamtkunstwerk,1923-1924,Fé Derickx & Bernard Tokkie,NL,,
2515,1923-1924_00415-20220207_155758.jpg,1923-1924,Dansenreeks,1924-04-17,,False,389273,Dansenreeks,?,?,?,Dansenreeks,ballet,1923-1924,Fé Derickx & Bernard Tokkie,NL,,
2516,1923-1924_00415-20220207_155758.jpg,1923-1924,Anita,1924-04-17,,False,678638,Anita,NL,Emile Painparé,1924,Anita,opera,1923-1924,Fé Derickx & Bernard Tokkie,NL,,
2517,1923-1924_00415-20220207_155758.jpg,1923-1924,Poppenliefde,1924-04-17,,False,878621,Poppenliefde,?,James Ensor,1924,Poppenliefde,ballet,1923-1924,Fé Derickx & Bernard Tokkie,NL,,
2518,1923-1924_00415-20220207_155758.jpg,1923-1924,Het Minnebrugje,1924-04-17,,False,592300,Het Minnebrugje,NL,Arthur Van Oost,?,Het Minnebrugje,zangspel,1923-1924,Fé Derickx & Bernard Tokkie,NL,,
2519,1923-1924_00417-20220207_155810.jpg,1923-1924,Siegfried,1924-04-19,,False,395318,Siegfried,DUI,Richard Wagner,1871,Siegfried,gesamtkunstwerk,1923-1924,Fé Derickx & Bernard Tokkie,Unk,,
2520,1923-1924_00419-20220207_155855.jpg,1923-1924,Dansenreeks,1924-04-20,,False,649531,Dansenreeks,?,?,?,Dansenreeks,ballet,1923-1924,Fé Derickx & Bernard Tokkie,NL,,
2521,1923-1924_00419-20220207_155855.jpg,1923-1924,Anita,1924-04-20,,False,814171,Anita,NL,Emile Painparé,1924,Anita,opera,1923-1924,Fé Derickx & Bernard Tokkie,NL,,
2522,1923-1924_00419-20220207_155855.jpg,1923-1924,Poppenliefde,1924-04-20,,False,524765,Poppenliefde,?,James Ensor,1924,Poppenliefde,ballet,1923-1924,Fé Derickx & Bernard Tokkie,NL,,
2523,1923-1924_00419-20220207_155855.jpg,1923-1924,Het Minnebrugje,1924-04-20,,False,501646,Het Minnebrugje,NL,Arthur Van Oost,?,Het Minnebrugje,zangspel,1923-1924,Fé Derickx & Bernard Tokkie,NL,,
2524,1923-1924_00421-20220207_155906.jpg,1923-1924,Tannhauser,1924-04-20,,False,172367,Tannhauser,DUI,Richard Wagner,1845,Tannhäuser,romantische oper,1923-1924,Fé Derickx & Bernard Tokkie,Unk,,
2525,1923-1924_00423-20220207_155919.jpg,1923-1924,Siegfried,1924-04-22,Gala met samenwerking van Rode kruis,False,464693,Siegfried,DUI,Richard Wagner,1871,Siegfried,gesamtkunstwerk,1923-1924,Fé Derickx & Bernard Tokkie,Unk,,
2526,1923-1924_00429-20220207_155957.jpg,1923-1924,Siegfried,1924-04-24,,False,871926,Siegfried,DUI,Richard Wagner,1871,Siegfried,gesamtkunstwerk,1923-1924,Fé Derickx & Bernard Tokkie,Unk,,
2527,1923-1924_00431-20220207_160009.jpg,1923-1924,Siegfried,1924-04-26,,False,705471,Siegfried,DUI,Richard Wagner,1871,Siegfried,gesamtkunstwerk,1923-1924,Fé Derickx & Bernard Tokkie,Unk,,
2528,1923-1924_00433-20220207_160023.jpg,1923-1924,Penelope,1924-04-27,,False,144331,Penelope,FR,Gabriel Fauré,1913,Pénélope,tragédie lyrique,1923-1924,Fé Derickx & Bernard Tokkie,Unk,,
2529,1923-1924_00435-20220207_160034.jpg,1923-1924,De Vliegende Hollander,1924-04-27,,False,809156,De Vliegende Hollander,DUI,Richard Wagner,1843,Der fliegende Holländer,romantische oper,1923-1924,Fé Derickx & Bernard Tokkie,NL,,
2530,1923-1924_00437-20220207_160047.jpg,1923-1924,Othello,1924-04-29,,False,486834,Othello,TSJ,Antonín Dvořák,1891,Othello,opera seria,1923-1924,Fé Derickx & Bernard Tokkie,Unk,,
2531,1924-1925_00011-20220207_162207.jpg,1924-1925,De Koningin van Saba,1924-09-13,,False,447786,De Koningin van Saba,DUI,Carl Goldmark,1875,Die Königin von Saba,zangspel,1924-1925,Fé Derickx & Bernard Tokkie,NL,,
2532,1924-1925_00012-20220207_162212.jpg,1924-1925,Herbergprinses,1924-09-14,,False,632648,Herbergprinses,NL,Jan Blockx,1896,Herbergprinses,zangspel,1924-1925,Fé Derickx & Bernard Tokkie,NL,,
2533,1924-1925_00034-20220207_162439.jpg,1924-1925,De Tooverfluit,1924-09-16,,False,924744,De Tooverfluit,DUI,Wolfgang Amadeus Mozart,1791,Die Zauberflöte,zangspel,1924-1925,Fé Derickx & Bernard Tokkie,NL,,
2534,1924-1925_00037-20220207_162502.jpg,1924-1925,De Koningin van Saba,1924-09-18,,False,451808,De Koningin van Saba,DUI,Carl Goldmark,1875,Die Königin von Saba,zangspel,1924-1925,Fé Derickx & Bernard Tokkie,NL,,
2535,1924-1925_00039-20220207_162513.jpg,1924-1925,Herbergprinses,1924-09-20,,False,526617,Herbergprinses,NL,Jan Blockx,1896,Herbergprinses,zangspel,1924-1925,Fé Derickx & Bernard Tokkie,NL,,
2536,1924-1925_00041-20220207_162525.jpg,1924-1925,De Tooverfluit,1924-09-21,,False,707383,De Tooverfluit,DUI,Wolfgang Amadeus Mozart,1791,Die Zauberflöte,zangspel,1924-1925,Fé Derickx & Bernard Tokkie,NL,,
2537,1924-1925_00043-20220207_162538.jpg,1924-1925,De Koningin van Saba,1924-09-23,,False,723667,De Koningin van Saba,DUI,Carl Goldmark,1875,Die Königin von Saba,zangspel,1924-1925,Fé Derickx & Bernard Tokkie,NL,,
2538,1924-1925_00045-20220207_162550.jpg,1924-1925,De Tooverfluit,1924-09-25,,False,998866,De Tooverfluit,DUI,Wolfgang Amadeus Mozart,1791,Die Zauberflöte,zangspel,1924-1925,Fé Derickx & Bernard Tokkie,NL,,
2539,1924-1925_00047-20220207_162601.jpg,1924-1925,De Doode Oogen,1924-09-27,,False,868195,De Doode Oogen,DUI,Albert D'Eugen,1913,Die toten Augen,romantische oper,1924-1925,Fé Derickx & Bernard Tokkie,NL,,
2540,1924-1925_00049-20220207_162612.jpg,1924-1925,De Tooverfluit,1924-09-28,,False,663498,De Tooverfluit,DUI,Wolfgang Amadeus Mozart,1791,Die Zauberflöte,zangspel,1924-1925,Fé Derickx & Bernard Tokkie,NL,,
2541,1924-1925_00051-20220207_162623.jpg,1924-1925,De Koningin van Saba,1924-09-28,,False,982677,De Koningin van Saba,DUI,Carl Goldmark,1875,Die Königin von Saba,zangspel,1924-1925,Fé Derickx & Bernard Tokkie,NL,,
2542,1924-1925_00053-20220207_162637.jpg,1924-1925,De Doode Oogen,1924-09-30,,False,919151,De Doode Oogen,DUI,Albert D'Eugen,1913,Die toten Augen,romantische oper,1924-1925,Fé Derickx & Bernard Tokkie,NL,,
2543,1924-1925_00055-20220207_162649.jpg,1924-1925,Othello,1924-10-02,,False,536866,Othello,TSJ,Antonín Dvořák,1891,Othello,opera seria,1924-1925,Fé Derickx & Bernard Tokkie,Unk,,
2544,1924-1925_00057-20220207_162700.jpg,1924-1925,De Tooverfluit,1924-10-04,,False,635727,De Tooverfluit,DUI,Wolfgang Amadeus Mozart,1791,Die Zauberflöte,zangspel,1924-1925,Fé Derickx & Bernard Tokkie,NL,,
2545,1924-1925_00059-20220207_162710.jpg,1924-1925,De Koningin van Saba,1924-10-05,,False,979210,De Koningin van Saba,DUI,Carl Goldmark,1875,Die Königin von Saba,zangspel,1924-1925,Fé Derickx & Bernard Tokkie,NL,,
2546,1924-1925_00061-20220207_162720.jpg,1924-1925,De Doode Oogen,1924-10-05,,False,472035,De Doode Oogen,DUI,Albert D'Eugen,1913,Die toten Augen,romantische oper,1924-1925,Fé Derickx & Bernard Tokkie,NL,,
2547,1924-1925_00063-20220207_162733.jpg,1924-1925,De Koningin van Saba,1924-10-07,"gala, opening van het toneeljaar",False,732940,De Koningin van Saba,DUI,Carl Goldmark,1875,Die Königin von Saba,zangspel,1924-1925,Fé Derickx & Bernard Tokkie,NL,,
2548,1924-1925_00065-20220207_162745.jpg,1924-1925,De Doode Oogen,1924-10-09,,False,431327,De Doode Oogen,DUI,Albert D'Eugen,1913,Die toten Augen,romantische oper,1924-1925,Fé Derickx & Bernard Tokkie,NL,,
2549,1924-1925_00067-20220207_162758.jpg,1924-1925,Carmen,1924-10-11,,False,983941,Carmen,FR,Georges Bizet,1875,Carmen,opéra comique,1924-1925,Fé Derickx & Bernard Tokkie,Unk,,
2550,1924-1925_00069-20220207_162809.jpg,1924-1925,De Doode Oogen,1924-10-12,,False,414858,De Doode Oogen,DUI,Albert D'Eugen,1913,Die toten Augen,romantische oper,1924-1925,Fé Derickx & Bernard Tokkie,NL,,
2551,1924-1925_00071-20220207_162844.jpg,1924-1925,De Tooverfluit,1924-10-12,,False,963176,De Tooverfluit,DUI,Wolfgang Amadeus Mozart,1791,Die Zauberflöte,zangspel,1924-1925,Fé Derickx & Bernard Tokkie,NL,,
2552,1924-1925_00073-20220207_162857.jpg,1924-1925,Herbergprinses,1924-10-14,,False,586914,Herbergprinses,NL,Jan Blockx,1896,Herbergprinses,zangspel,1924-1925,Fé Derickx & Bernard Tokkie,NL,,
2553,1924-1925_00075-20220207_162910.jpg,1924-1925,De Doode Oogen,1924-10-16,,False,284933,De Doode Oogen,DUI,Albert D'Eugen,1913,Die toten Augen,romantische oper,1924-1925,Fé Derickx & Bernard Tokkie,NL,,
2554,1924-1925_00077-20220207_162925.jpg,1924-1925,Rijngoud,1924-10-18,,False,529264,Het Rijngoud,DUI,Richard Wagner,1869,Das Rheingold,gesamtkunstwerk,1924-1925,Fé Derickx & Bernard Tokkie,NL,,
2555,1924-1925_00081-20220207_162954.jpg,1924-1925,Carmen,1924-10-19,,False,824764,Carmen,FR,Georges Bizet,1875,Carmen,opéra comique,1924-1925,Fé Derickx & Bernard Tokkie,Unk,,
2556,1924-1925_00083-20220207_163006.jpg,1924-1925,Othello,1924-10-19,,False,903937,Othello,TSJ,Antonín Dvořák,1891,Othello,opera seria,1924-1925,Fé Derickx & Bernard Tokkie,Unk,,
2557,1924-1925_00085-20220207_163017.jpg,1924-1925,De Doode Oogen,1924-10-21,,False,195763,De Doode Oogen,DUI,Albert D'Eugen,1913,Die toten Augen,romantische oper,1924-1925,Fé Derickx & Bernard Tokkie,NL,,
2558,1924-1925_00085-20220207_163017.jpg,1924-1925,Zooals Voorheen,1924-10-21,,False,767057,Zooals Voorheen,?,L. Van Dam,?,Zooals voorheen,?,1924-1925,Fé Derickx & Bernard Tokkie,Unk,,
2559,1924-1925_00087-20220207_163028.jpg,1924-1925,Rijngoud,1924-10-23,,False,779336,Het Rijngoud,DUI,Richard Wagner,1869,Das Rheingold,gesamtkunstwerk,1924-1925,Fé Derickx & Bernard Tokkie,NL,,
2560,1924-1925_00089-20220207_163039.jpg,1924-1925,Ilka,1924-10-25,,False,297332,Ilka,NL,Léopold Samuel,1919,Ilka,lyrisch drama,1924-1925,Fé Derickx & Bernard Tokkie,Unk,,
2561,1924-1925_00091-20220207_163050.jpg,1924-1925,Herbergprinses,1924-10-26,,False,562820,Herbergprinses,NL,Jan Blockx,1896,Herbergprinses,zangspel,1924-1925,Fé Derickx & Bernard Tokkie,NL,,
2562,1924-1925_00093-20220207_163105.jpg,1924-1925,Carmen,1924-10-26,,False,270976,Carmen,FR,Georges Bizet,1875,Carmen,opéra comique,1924-1925,Fé Derickx & Bernard Tokkie,Unk,,
2563,1924-1925_00095-20220207_163121.jpg,1924-1925,Rijngoud,1924-10-28,,False,270527,Het Rijngoud,DUI,Richard Wagner,1869,Das Rheingold,gesamtkunstwerk,1924-1925,Fé Derickx & Bernard Tokkie,NL,,
2564,1924-1925_00097-20220207_163134.jpg,1924-1925,Ilka,1924-10-30,,False,905060,Ilka,NL,Léopold Samuel,1919,Ilka,lyrisch drama,1924-1925,Fé Derickx & Bernard Tokkie,Unk,,
2565,1924-1925_00099-20220207_163154.jpg,1924-1925,De Doode Oogen,1924-11-01,,False,878599,De Doode Oogen,DUI,Albert D'Eugen,1913,Die toten Augen,romantische oper,1924-1925,Fé Derickx & Bernard Tokkie,NL,,
2566,1924-1925_00099-20220207_163154.jpg,1924-1925,Zooals Voorheen,1924-11-01,,False,741039,Zooals Voorheen,?,L. Van Dam,?,Zooals voorheen,?,1924-1925,Fé Derickx & Bernard Tokkie,Unk,,
2567,1924-1925_00101-20220207_163211.jpg,1924-1925,Rijngoud,1924-11-02,,False,932994,Het Rijngoud,DUI,Richard Wagner,1869,Das Rheingold,gesamtkunstwerk,1924-1925,Fé Derickx & Bernard Tokkie,NL,,
2568,1924-1925_00103-20220207_163225.jpg,1924-1925,Quinten Massijs,1924-11-02,In memoriam Meester Emiel Wambach,False,624050,Quinten Massijs,NL,Emile Wambach,1899,Quinten Massys,lyrisch drama,1924-1925,Fé Derickx & Bernard Tokkie,Unk,,
2569,1924-1925_00103-20220207_163225.jpg,1924-1925,Zooals Voorheen,1924-11-02,In memoriam Meester Emiel Wambach,False,682192,Zooals Voorheen,?,L. Van Dam,?,Zooals voorheen,?,1924-1925,Fé Derickx & Bernard Tokkie,Unk,,
2570,1924-1925_00105-20220207_163243.jpg,1924-1925,Quinten Massijs,1924-11-04,,False,812643,Quinten Massijs,NL,Emile Wambach,1899,Quinten Massys,lyrisch drama,1924-1925,Fé Derickx & Bernard Tokkie,Unk,,
2571,1924-1925_00105-20220207_163243.jpg,1924-1925,Zooals Voorheen,1924-11-04,,False,270032,Zooals Voorheen,?,L. Van Dam,?,Zooals voorheen,?,1924-1925,Fé Derickx & Bernard Tokkie,Unk,,
2572,1924-1925_00107-20220207_163258.jpg,1924-1925,Herbergprinses,1924-11-06,,False,782360,Herbergprinses,NL,Jan Blockx,1896,Herbergprinses,zangspel,1924-1925,Fé Derickx & Bernard Tokkie,NL,,
2573,1924-1925_00111-20220207_163323.jpg,1924-1925,Quinten Massijs,1924-11-09,,False,591032,Quinten Massijs,NL,Emile Wambach,1899,Quinten Massys,lyrisch drama,1924-1925,Fé Derickx & Bernard Tokkie,Unk,,
2574,1924-1925_00113-20220207_163333.jpg,1924-1925,Rijngoud,1924-11-09,,False,588046,Het Rijngoud,DUI,Richard Wagner,1869,Das Rheingold,gesamtkunstwerk,1924-1925,Fé Derickx & Bernard Tokkie,NL,,
2575,1924-1925_00115-20220207_163400.jpg,1924-1925,Carmen,1924-11-11,,False,477688,Carmen,FR,Georges Bizet,1875,Carmen,opéra comique,1924-1925,Fé Derickx & Bernard Tokkie,Unk,,
2576,1924-1925_00117-20220207_163413.jpg,1924-1925,De Doode Oogen,1924-11-13,,False,129071,De Doode Oogen,DUI,Albert D'Eugen,1913,Die toten Augen,romantische oper,1924-1925,Fé Derickx & Bernard Tokkie,NL,,
2577,1924-1925_00117-20220207_163413.jpg,1924-1925,Zooals Voorheen,1924-11-13,,False,960817,Zooals Voorheen,?,L. Van Dam,?,Zooals voorheen,?,1924-1925,Fé Derickx & Bernard Tokkie,Unk,,
2578,1924-1925_00119-20220207_163426.jpg,1924-1925,De Getemde Feeks,1924-11-15,,False,324376,De Getemde Feeks,DUI,Hermann Goetz,1874,Der Widerspenstigen Zähmung,comic opera,1924-1925,Fé Derickx & Bernard Tokkie,NL,,
2579,1924-1925_00121-20220207_163439.jpg,1924-1925,Carmen,1924-11-16,,False,433990,Carmen,FR,Georges Bizet,1875,Carmen,opéra comique,1924-1925,Fé Derickx & Bernard Tokkie,Unk,,
2580,1924-1925_00123-20220207_163454.jpg,1924-1925,De Doode Oogen,1924-11-16,,False,952117,De Doode Oogen,DUI,Albert D'Eugen,1913,Die toten Augen,romantische oper,1924-1925,Fé Derickx & Bernard Tokkie,NL,,
2581,1924-1925_00123-20220207_163454.jpg,1924-1925,Zooals Voorheen,1924-11-16,,False,383064,Zooals Voorheen,?,L. Van Dam,?,Zooals voorheen,?,1924-1925,Fé Derickx & Bernard Tokkie,Unk,,
2582,1924-1925_00125-20220207_163505.jpg,1924-1925,De Getemde Feeks,1924-11-18,,False,953706,De Getemde Feeks,DUI,Hermann Goetz,1874,Der Widerspenstigen Zähmung,comic opera,1924-1925,Fé Derickx & Bernard Tokkie,NL,,
2583,1924-1925_00127-20220207_163518.jpg,1924-1925,Rijngoud,1924-11-20,,False,786945,Het Rijngoud,DUI,Richard Wagner,1869,Das Rheingold,gesamtkunstwerk,1924-1925,Fé Derickx & Bernard Tokkie,NL,,
2584,1924-1925_00129-20220207_163529.jpg,1924-1925,Hansje en Grietje,1924-11-22,,False,359039,Hansje en Grietje,DUI,Engelbert Humperdinck,1893,Hänsel und Gretel,kinder opera,1924-1925,Fé Derickx & Bernard Tokkie,NL,,
2585,1924-1925_00131-20220207_163545.jpg,1924-1925,De Tooverfluit,1924-11-23,,False,385464,De Tooverfluit,DUI,Wolfgang Amadeus Mozart,1791,Die Zauberflöte,zangspel,1924-1925,Fé Derickx & Bernard Tokkie,NL,,
2586,1924-1925_00133-20220207_163557.jpg,1924-1925,De Getemde Feeks,1924-11-23,,False,449208,De Getemde Feeks,DUI,Hermann Goetz,1874,Der Widerspenstigen Zähmung,comic opera,1924-1925,Fé Derickx & Bernard Tokkie,NL,,
2587,1924-1925_00135-20220207_163610.jpg,1924-1925,Hansje en Grietje,1924-11-25,,False,280628,Hansje en Grietje,DUI,Engelbert Humperdinck,1893,Hänsel und Gretel,kinder opera,1924-1925,Fé Derickx & Bernard Tokkie,NL,,
2588,1924-1925_00137-20220207_163620.jpg,1924-1925,Carmen,1924-11-27,,False,496219,Carmen,FR,Georges Bizet,1875,Carmen,opéra comique,1924-1925,Fé Derickx & Bernard Tokkie,Unk,,
2589,1924-1925_00139-20220207_163631.jpg,1924-1925,Tannhauser,1924-11-29,,False,369802,Tannhauser,DUI,Richard Wagner,1845,Tannhäuser,romantische oper,1924-1925,Fé Derickx & Bernard Tokkie,Unk,,
2590,1924-1925_00141-20220207_163641.jpg,1924-1925,De Doode Oogen,1924-11-30,,False,633684,De Doode Oogen,DUI,Albert D'Eugen,1913,Die toten Augen,romantische oper,1924-1925,Fé Derickx & Bernard Tokkie,NL,,
2591,1924-1925_00141-20220207_163641.jpg,1924-1925,Zooals Voorheen,1924-11-30,,False,485591,Zooals Voorheen,?,L. Van Dam,?,Zooals voorheen,?,1924-1925,Fé Derickx & Bernard Tokkie,Unk,,
2592,1924-1925_00143-20220207_163651.jpg,1924-1925,Hansje en Grietje,1924-11-30,Eerste opvoering,False,130838,Hansje en Grietje,DUI,Engelbert Humperdinck,1893,Hänsel und Gretel,kinder opera,1924-1925,Fé Derickx & Bernard Tokkie,NL,,
2593,1924-1925_00143-20220207_163651.jpg,1924-1925,Phoebé,1924-11-30,Eerste opvoering,False,554660,Phoebé,?,André Gédalge,1900,Phoebé,ballet,1924-1925,Fé Derickx & Bernard Tokkie,Unk,,
2594,1924-1925_00145-20220207_163707.jpg,1924-1925,Tannhauser,1924-12-02,,False,280908,Tannhauser,DUI,Richard Wagner,1845,Tannhäuser,romantische oper,1924-1925,Fé Derickx & Bernard Tokkie,Unk,,
2595,1924-1925_00147-20220207_163720.jpg,1924-1925,Hansje en Grietje,1924-12-04,,False,626996,Hansje en Grietje,DUI,Engelbert Humperdinck,1893,Hänsel und Gretel,kinder opera,1924-1925,Fé Derickx & Bernard Tokkie,NL,,
2596,1924-1925_00149-20220207_163736.jpg,1924-1925,De Getemde Feeks,1924-12-04,,False,944771,De Getemde Feeks,DUI,Hermann Goetz,1874,Der Widerspenstigen Zähmung,comic opera,1924-1925,Fé Derickx & Bernard Tokkie,NL,,
2597,1924-1925_00151-20220207_163747.jpg,1924-1925,De Legende van Sakuntala,1924-12-06,gala,False,405542,De Legende van Sakuntala,ITA,Franco Alfano,1921,La leggenda di Sakùntala,zangspel,1924-1925,Fé Derickx & Bernard Tokkie,NL,,
2598,1924-1925_00153-20220207_163803.jpg,1924-1925,Hansje en Grietje,1924-12-07,,False,928249,Hansje en Grietje,DUI,Engelbert Humperdinck,1893,Hänsel und Gretel,kinder opera,1924-1925,Fé Derickx & Bernard Tokkie,NL,,
2599,1924-1925_00157-20220207_163835.jpg,1924-1925,Carmen,1924-12-07,,False,937051,Carmen,FR,Georges Bizet,1875,Carmen,opéra comique,1924-1925,Fé Derickx & Bernard Tokkie,Unk,,
2600,1924-1925_00159-20220207_163850.jpg,1924-1925,De Legende van Sakuntala,1924-12-09,,False,100852,De Legende van Sakuntala,ITA,Franco Alfano,1921,La leggenda di Sakùntala,zangspel,1924-1925,Fé Derickx & Bernard Tokkie,NL,,
2601,1924-1925_00162-20220207_163911.jpg,1924-1925,De Legende van Sakuntala,1924-12-11,,False,756788,De Legende van Sakuntala,ITA,Franco Alfano,1921,La leggenda di Sakùntala,zangspel,1924-1925,Fé Derickx & Bernard Tokkie,NL,,
2602,1924-1925_00167-20220207_163942.jpg,1924-1925,De Doode Oogen,1924-12-13,,False,172139,De Doode Oogen,DUI,Albert D'Eugen,1913,Die toten Augen,romantische oper,1924-1925,Fé Derickx & Bernard Tokkie,NL,,
2603,1924-1925_00167-20220207_163942.jpg,1924-1925,Phoebé,1924-12-13,,False,927948,Phoebé,?,André Gédalge,1900,Phoebé,ballet,1924-1925,Fé Derickx & Bernard Tokkie,Unk,,
2604,1924-1925_00171-20220207_164009.jpg,1924-1925,De Legende van Sakuntala,1924-12-14,,False,875528,De Legende van Sakuntala,ITA,Franco Alfano,1921,La leggenda di Sakùntala,zangspel,1924-1925,Fé Derickx & Bernard Tokkie,NL,,
2605,1924-1925_00175-20220207_164034.jpg,1924-1925,De Getemde Feeks,1924-12-14,,False,334440,De Getemde Feeks,DUI,Hermann Goetz,1874,Der Widerspenstigen Zähmung,comic opera,1924-1925,Fé Derickx & Bernard Tokkie,NL,,
2606,1924-1925_00177-20220207_164048.jpg,1924-1925,De Tooverfluit,1924-12-16,"Gala, de leden van 'doe het goede om het goede' aangeboden",False,653928,De Tooverfluit,DUI,Wolfgang Amadeus Mozart,1791,Die Zauberflöte,zangspel,1924-1925,Fé Derickx & Bernard Tokkie,NL,,
2607,1924-1925_00181-20220207_164117.jpg,1924-1925,De Legende van Sakuntala,1924-12-18,,False,303287,De Legende van Sakuntala,ITA,Franco Alfano,1921,La leggenda di Sakùntala,zangspel,1924-1925,Fé Derickx & Bernard Tokkie,NL,,
2608,1924-1925_00185-20220207_164140.jpg,1924-1925,De Gouden Haan,1924-12-20,,False,384574,De Gouden Haan,RUS,Nikolay Rimsky-Korsakov,1909,The Golden Cockerel,?,1924-1925,Fé Derickx & Bernard Tokkie,NL,,
2609,1924-1925_00187-20220207_164155.jpg,1924-1925,Hansje en Grietje,1924-12-21,,False,311574,Hansje en Grietje,DUI,Engelbert Humperdinck,1893,Hänsel und Gretel,kinder opera,1924-1925,Fé Derickx & Bernard Tokkie,NL,,
2610,1924-1925_00191-20220207_164228.jpg,1924-1925,De Legende van Sakuntala,1924-12-21,,False,659483,De Legende van Sakuntala,ITA,Franco Alfano,1921,La leggenda di Sakùntala,zangspel,1924-1925,Fé Derickx & Bernard Tokkie,NL,,
2611,1924-1925_00193-20220207_164240.jpg,1924-1925,De Gouden Haan,1924-12-23,,False,292596,De Gouden Haan,RUS,Nikolay Rimsky-Korsakov,1909,The Golden Cockerel,?,1924-1925,Fé Derickx & Bernard Tokkie,NL,,
2612,1924-1925_00195-20220207_164252.jpg,1924-1925,De Doode Oogen,1924-12-25,Ter gelegenheid van het kerstfeest,False,106072,De Doode Oogen,DUI,Albert D'Eugen,1913,Die toten Augen,romantische oper,1924-1925,Fé Derickx & Bernard Tokkie,NL,,
2613,1924-1925_00195-20220207_164252.jpg,1924-1925,Phoebé,1924-12-25,Ter gelegenheid van het kerstfeest,False,956116,Phoebé,?,André Gédalge,1900,Phoebé,ballet,1924-1925,Fé Derickx & Bernard Tokkie,Unk,,
2614,1924-1925_00199-20220207_164316.jpg,1924-1925,Tannhauser,1924-12-25,,False,405487,Tannhauser,DUI,Richard Wagner,1845,Tannhäuser,romantische oper,1924-1925,Fé Derickx & Bernard Tokkie,Unk,,
2615,1924-1925_00203-20220207_164340.jpg,1924-1925,Hansje en Grietje,1924-12-26,Ter gelegenheid van het kerstfeest,False,205243,Hansje en Grietje,DUI,Engelbert Humperdinck,1893,Hänsel und Gretel,kinder opera,1924-1925,Fé Derickx & Bernard Tokkie,NL,,
2616,1924-1925_00207-20220207_164404.jpg,1924-1925,De Legende van Sakuntala,1924-12-27,,False,932036,De Legende van Sakuntala,ITA,Franco Alfano,1921,La leggenda di Sakùntala,zangspel,1924-1925,Fé Derickx & Bernard Tokkie,NL,,
2617,1924-1925_00211-20220207_164429.jpg,1924-1925,De Tooverfluit,1924-12-28,,False,619973,De Tooverfluit,DUI,Wolfgang Amadeus Mozart,1791,Die Zauberflöte,zangspel,1924-1925,Fé Derickx & Bernard Tokkie,NL,,
2618,1924-1925_00215-20220207_164456.jpg,1924-1925,Hoffmann's Vertellingenen,1924-12-28,,False,606090,Hoffmann's Vertellingen,FR,Jacques Offenbach,1881,Les contes d'Hoffmann,opéra fantastique,1924-1925,Fé Derickx & Bernard Tokkie,NL,,
2619,1924-1925_00217-20220207_164507.jpg,1924-1925,Hoffmann's Vertellingenen,1924-12-30,,False,777305,Hoffmann's Vertellingen,FR,Jacques Offenbach,1881,Les contes d'Hoffmann,opéra fantastique,1924-1925,Fé Derickx & Bernard Tokkie,NL,,
2620,1924-1925_00219-20220207_164524.jpg,1924-1925,Jean-Marie,1925-01-01,,False,764381,Jean-Marie,?,W. Verbeeck,?,Jean-Marie,drama,1924-1925,Fé Derickx & Bernard Tokkie,Unk,,
2621,1924-1925_00219-20220207_164524.jpg,1924-1925,Zooals Voorheen,1925-01-01,,False,269925,Zooals Voorheen,?,L. Van Dam,?,Zooals voorheen,?,1924-1925,Fé Derickx & Bernard Tokkie,Unk,,
2622,1924-1925_00219-20220207_164524.jpg,1924-1925,Winternachtsdroom,1925-01-01,,False,633436,Winternachtsdroom,NL,August de Boeck,1902,Winternachtsdroom,lyrisch drama,1924-1925,Fé Derickx & Bernard Tokkie,NL,,
2623,1924-1925_00223-20220207_164548.jpg,1924-1925,Hoffmann's Vertellingenen,1925-01-03,,False,674117,Hoffmann's Vertellingen,FR,Jacques Offenbach,1881,Les contes d'Hoffmann,opéra fantastique,1924-1925,Fé Derickx & Bernard Tokkie,NL,,
