,Date,Production,Multiple bill,Performances_ID,Normalised title,Original language,Composer,Original premiere,Original title,genre,Season
137,1941-05-21,Gastspiel des Nationalsocialistischen symphonie-orkesters,False,615216,Gastspiel des Nationalsocialistischen symphonie-orkesters,N/A,N/A,N/A,N/A,N/A,1940-1941
138,1941-05-22,In het Witte Paard,False,777053,In het Witte Paard,DUI,Ralph Benatzky,1899,Im Weißen Rößl,operette,1940-1941
140,1941-05-25,De Vogelhandelaar,False,405814,De Vogelhandelaar,DUI,Carl Zeller,1891,Der Vogelhändler,operette,1940-1941
142,1941-05-29,De Vogelhandelaar,False,518942,De Vogelhandelaar,DUI,Carl Zeller,1891,Der Vogelhändler,operette,1940-1941
143,1941-05-31,Der Dorfbarbier,False,673169,Der Dorfbarbier,DUI,Johan Schenk,1796,Der Dorfbarbier,zangspel,1940-1941
144,1941-06-01,Weermachtconcert,False,993665,Weermachtconcert,N/A,N/A,N/A,N/A,N/A,1940-1941
145,1941-06-01,De Vogelhandelaar,False,973963,De Vogelhandelaar,DUI,Carl Zeller,1891,Der Vogelhändler,operette,1940-1941
147,1941-06-02,De Vogelhandelaar,False,641764,De Vogelhandelaar,DUI,Carl Zeller,1891,Der Vogelhändler,operette,1940-1941
148,1941-06-05,De Vogelhandelaar,False,364585,De Vogelhandelaar,DUI,Carl Zeller,1891,Der Vogelhändler,operette,1940-1941
149,1941-06-07,Balletkorps van Berliner Opera,False,453167,Balletkorps van Berliner Opera,N/A,N/A,N/A,N/A,N/A,1940-1941
151,1941-06-08,De Vogelhandelaar,False,647844,De Vogelhandelaar,DUI,Carl Zeller,1891,Der Vogelhändler,operette,1940-1941
153,1941-06-12,De Arme Student,False,879707,De Arme Student,DUI,Carl Millöcker,1882,Der Bettelstudent,operette,1940-1941
154,1941-06-15,De Arme Student,False,248806,De Arme Student,DUI,Carl Millöcker,1882,Der Bettelstudent,operette,1940-1941
156,1941-06-19,De Graaf van Luxemburg,False,736807,De Graaf van Luxemburg,DUI,Franz Lehár,1909,Der Graf von Luxemburg,operette,1940-1941
157,1941-06-22,De Graaf van Luxemburg,False,776667,De Graaf van Luxemburg,DUI,Franz Lehár,1909,Der Graf von Luxemburg,operette,1940-1941
158,1941-06-22,Madame Butterfly,False,162556,Madame Butterfly,ITA,Giacomo Puccini,1904,Madama Butterfly,opera seria,1940-1941
159,1941-06-26,Madame Butterfly,False,165781,Madame Butterfly,ITA,Giacomo Puccini,1904,Madama Butterfly,opera seria,1940-1941
160,1941-06-27,Tanzabend ‘Kraft durch Freude’,False,348824,Tanzabend ‘Kraft durch Freude’,N/A,N/A,N/A,N/A,N/A,1940-1941
161,1941-06-29,Die Deutsche Wehrmacht speelt en zingt,False,786499,Die Deutsche Wehrmacht speelt en zingt,N/A,N/A,N/A,N/A,N/A,1940-1941
162,1941-06-29,Madame Butterfly,False,591425,Madame Butterfly,ITA,Giacomo Puccini,1904,Madama Butterfly,opera seria,1940-1941
163,1941-06-29,De Graaf van Luxemburg,False,472027,De Graaf van Luxemburg,DUI,Franz Lehár,1909,Der Graf von Luxemburg,operette,1940-1941
164,1941-07-03,Madame Butterfly,False,788252,Madame Butterfly,ITA,Giacomo Puccini,1904,Madama Butterfly,opera seria,1940-1941
165,1941-07-09,Ein Abend bei Peter Igelhof,False,899823,Ein Abend bei Peter Igelhof,N/A,N/A,N/A,N/A,N/A,1940-1941
166,1941-07-13,Kunstconcert Lieven Duvosel,False,661314,Kunstconcert Lieven Duvosel,N/A,N/A,N/A,N/A,N/A,1940-1941
167,1941-07-17,‘Gloria Express’ voor Duitse Weermach’,False,881786,‘Gloria Express’ voor Duitse Weermach’,N/A,N/A,N/A,N/A,N/A,1940-1941
168,1941-07-18,Variété Kraft dur (sic) Freude,False,144832,Variété Kraft dur (sic) Freude,N/A,N/A,N/A,N/A,N/A,1940-1941
169,1941-07-29,De Barbier van Sevilla,False,562735,De Barbier van Sevilla,ITA,Giovanni Paisiello,1782,Il barbiere di Siviglia,opera buffa,1940-1941
170,1941-07-30,De Barbier van Sevilla,False,440973,De Barbier van Sevilla,ITA,Giovanni Paisiello,1782,Il barbiere di Siviglia,opera buffa,1940-1941
171,1941-07-31,De Barbier van Sevilla,False,920523,De Barbier van Sevilla,ITA,Giovanni Paisiello,1782,Il barbiere di Siviglia,opera buffa,1940-1941
172,1941-08-03,Concert Duitse Weermacht,False,521550,Concert Duitse Weermacht,N/A,N/A,N/A,N/A,N/A,1940-1941
173,1941-08-11,De weg naar het paradijs,False,430882,De weg naar het paradijs,?,?,?,?,?,1940-1941
174,1941-08-11,Mirandolina,False,174237,Mirandolina,N/A,N/A,N/A,N/A,N/A,1940-1941
175,1941-08-15,Marieken van Nijmegem,False,256867,Marieken van Nijmegem,N/A,N/A,N/A,N/A,N/A,1940-1941
176,1941-08-17,Groot Duvosel Concert,False,750709,Groot Duvosel Concert,N/A,N/A,N/A,N/A,N/A,1940-1941
177,1941-08-24,Der Eheftreich voor Duitse Weermacht,False,400895,Der Eheftreich voor Duitse Weermacht,N/A,N/A,N/A,N/A,N/A,1940-1941
178,1941-09-02,War ihr Wollt,False,957100,War ihr Wollt,?,?,?,?,?,1941-1942
179,1941-09-03,War ihr Wollt,False,691688,War ihr Wollt,?,?,?,?,?,1941-1942
180,1941-09-07,Duits concert: Die Deutsche Arbeitsfront: NS Gemeinschaft ‘Kraft Durch Freude’,False,613714,Duits concert: Die Deutsche Arbeitsfront: NS Gemeinschaft ‘Kraft Durch Freude’,N/A,N/A,N/A,N/A,N/A,1941-1942
181,1941-09-08,Concert en zang door het Rheinifekes Landesorchefter Köln,False,218047,Concert en zang door het Rheinifekes Landesorchefter Köln,N/A,N/A,N/A,N/A,N/A,1941-1942
182,1941-09-19,Madame Butterfly,False,507612,Madame Butterfly,ITA,Giacomo Puccini,1904,Madama Butterfly,opera seria,1941-1942
183,1941-09-23,Madame Butterfly,False,524190,Madame Butterfly,ITA,Giacomo Puccini,1904,Madama Butterfly,opera seria,1941-1942
184,1941-09-27,Lohengrin,False,253935,Lohengrin,DUI,Richard Wagner,1850,Lohengrin,romantische oper,1941-1942
185,1941-09-28,Lohengrin,False,202862,Lohengrin,DUI,Richard Wagner,1850,Lohengrin,romantische oper,1941-1942
186,1941-09-28,Weenerwalsen,False,497935,Weenerwalsen,N/A,N/A,N/A,N/A,N/A,1941-1942
187,1941-10-02,Lohengrin,False,582483,Lohengrin,DUI,Richard Wagner,1850,Lohengrin,romantische oper,1941-1942
188,1941-10-04,Weenerwalsen,False,292899,Weenerwalsen,N/A,N/A,N/A,N/A,N/A,1941-1942
189,1941-10-05,Weenerwalsen,False,736755,Weenerwalsen,N/A,N/A,N/A,N/A,N/A,1941-1942
190,1941-10-05,Lohengrin,False,551741,Lohengrin,DUI,Richard Wagner,1850,Lohengrin,romantische oper,1941-1942
191,1941-10-09,Weenerwalsen,False,157098,Weenerwalsen,N/A,N/A,N/A,N/A,N/A,1941-1942
192,1941-10-11,Marieken van Nijmegem,False,232643,Marieken van Nijmegem,N/A,N/A,N/A,N/A,N/A,1941-1942
