Image	Collection	Production	Date	Occasion	Leaflet_Language	Opmerking
0192_1933-1934_00193-20230218_113631.jpg	1933-1934	Rigoletto	30/1/1934	gastvoorstelling Clara Clairbert – Georges Youreneff – A. d’Arkor	Dutch	N/A
0193_1933-1934_00194-20230218_113641.jpg	1933-1934	N/A	N/A	N/A	N/A	N/A
0194_1933-1934_00195-20230218_113653.jpg	1933-1934	De Dochter van Mme Angot	1/2/1934	gastvoorstelling Octavie Belloy	Dutch	N/A
0195_1933-1934_00196-20230218_113702.jpg	1933-1934	N/A	N/A	N/A	N/A	N/A
0196_1933-1934_00197-20230218_113711.jpg	1933-1934	De Rozenkavalier	3/2/1933	N/A	Dutch	N/A
0197_1933-1934_00198-20230218_113721.jpg	1933-1934	N/A	N/A	N/A	N/A	N/A
0198_1933-1934_00199-20230218_113729.jpg	1933-1934	De Dochter van Mme Angot	4/2/1934	gastvoorstelling Octavie Belloy	Dutch	N/A
0199_1933-1934_00200-20230218_113740.jpg	1933-1934	N/A	N/A	N/A	N/A	N/A
0200_1933-1934_00201-20230218_113747.jpg	1933-1934	Faust	4/2/1934	N/A	Dutch	N/A
0201_1933-1934_00202-20230218_113756.jpg	1933-1934	N/A	N/A	N/A	N/A	N/A
0202_1933-1934_00203-20230218_113804.jpg	1933-1934	De Rozenkavalier	6/2/1934	N/A	Dutch	N/A
0203_1933-1934_00204-20230218_113815.jpg	1933-1934	N/A	N/A	N/A	N/A	N/A
0204_1933-1934_00205-20230218_113825.jpg	1933-1934	Tannhäuser	8/2/1934	gastvoorstelling Gustaaf de Loor	Dutch	N/A
0205_1933-1934_00206-20230218_113836.jpg	1933-1934	N/A	N/A	N/A	N/A	N/A
0206_1933-1934_00207-20230218_113845.jpg	1933-1934	Boheme	10/2/1934	gastvoorstelling Helena Krinkels	Dutch	N/A
0207_1933-1934_00208-20230218_113930.jpg	1933-1934	N/A	N/A	N/A	N/A	N/A
0208_1933-1934_00209-20230218_113940.jpg	1933-1934	De Lustige Boer	11/2/1934	N/A	Dutch	N/A
0209_1933-1934_00210-20230218_113949.jpg	1933-1934	N/A	N/A	N/A	N/A	N/A
0312_1933-1934_00312-20230310_135612.jpg	1933-1934	De Dochter van Mme Angot	11/2/1934	gastvoorstelling Octavie Belloy	Dutch	N/A
0210_1933-1934_00211-20230218_114748.jpg	1933-1934	N/A	N/A	N/A	N/A	N/A
0211_1933-1934_00212-20230218_114759.jpg	1933-1934	De Lustige Boer	12/2/1934	N/A	Dutch	N/A
0212_1933-1934_00213-20230218_114807.jpg	1933-1934	N/A	N/A	N/A	N/A	N/A
0213_1933-1934_00214-20230218_114815.jpg	1933-1934	Boheme	13/2/1934	GAKVO-gala	Dutch	N/A
0214_1933-1934_00215-20230218_114826.jpg	1933-1934	N/A	N/A	N/A	N/A	N/A
0215_1933-1934_00216-20230218_114835.jpg	1933-1934	De Lustige Boer	15/2/1934	N/A	Dutch	N/A
0216_1933-1934_00217-20230218_114844.jpg	1933-1934	N/A	N/A	N/A	N/A	N/A
0217_1933-1934_00218-20230218_114854.jpg	1933-1934	Madame Butterfly	17/2/1934	gastvoorstelling Ada Poliakowa	Dutch	N/A
0218_1933-1934_00219-20230218_114903.jpg	1933-1934	N/A	N/A	N/A	N/A	N/A
0219_1933-1934_00220-20230218_114914.jpg	1933-1934	Madame Butterfly	18/2/1934	gastvoorstelling Ada Poliakowa	Dutch	Deze voorstelling is volgens een handgeschreven nota afgelast vanwege de dood van Koning Albert I
0220_1933-1934_00221-20230218_115046.jpg	1933-1934	N/A	N/A	N/A	N/A	N/A
0221_1933-1934_00222-20230218_115055.jpg	1933-1934	De Lustige Boer	18/2/1934	N/A	Dutch	Deze voorstelling is volgens een handgeschreven nota afgelast vanwege de dood van Koning Albert I
0222_1933-1934_00223-20230218_115103.jpg	1933-1934	N/A	N/A	N/A	N/A	N/A
0223_1933-1934_00224-20230218_115110.jpg	1933-1934	Boheme	20/2/1934	gastvoorstelling Helena Krinkels	Dutch	N/A
0224_1933-1934_00225-20230218_115122.jpg	1933-1934	N/A	N/A	N/A	N/A	N/A
0225_1933-1934_00226-20230218_115131.jpg	1933-1934	De Vliegende Hollander	22/2/1934	gastvoorstelling Georges Youreneff – Gustaaf de Loor	Dutch	Deze voorstelling is volgens een handgeschreven nota afgelast vanwege de dood van Koning Albert I
0226_1933-1934_00227-20230218_115141.jpg	1933-1934	N/A	N/A	N/A	N/A	N/A
0227_1933-1934_00228-20230218_115150.jpg	1933-1934	Mister Wu + De Zeven Hoofdzonden	24/2/1934	eerste opvoering in België (Mister Wu)	Dutch	N/A
0228_1933-1934_00229-20230218_115202.jpg	1933-1934	N/A	N/A	N/A	N/A	N/A
0229_1933-1934_00230-20230218_115211.jpg	1933-1934	Boheme	25/2/1934	gastvoorstelling Helena Krinkels	Dutch	N/A
0230_1933-1934_00231-20230218_115221.jpg	1933-1934	N/A	N/A	N/A	N/A	N/A
