,Image,Collection,Production,Date,Occasion,Leaflet_Language,Opmerking,Multiple bill,Performances_ID,Normalised title,Original language,Composer,Original premiere,Original title,genre,Title_Language,Season
1533,1937-1938_00179-20230218_164255.jpg,1937-1938,Carmen,1938-02-01,GAKVO-gala,Dutch,,False,279187,Carmen,FR,Georges Bizet,1875,Carmen,opéra comique,Unk,1937-1938
1535,1937-1938_00181-20230218_164310.jpg,1937-1938,Faust,1938-02-03,,Dutch,,False,223481,Faust,FR,Charles Gounod,1859,Faust,grand opera,Unk,1937-1938
1537,1937-1938_00183-20230218_164327.jpg,1937-1938,Cavalleria Rusticana,1938-02-05,,Dutch,,True,685420,Cavalleria Rusticana,ITA,Pietro Mascagni,1890,Cavalleria rusticana,?,ITA,1937-1938
1538,1937-1938_00183-20230218_164327.jpg,1937-1938,Paljas,1938-02-05,,Dutch,,True,685420,Paljas,ITA,Ruggiero Leoncavallo,1892,Pagliacci,verisme,Unk,1937-1938
1540,1937-1938_00185-20230218_164342.jpg,1937-1938,Zwarte Viooltjes,1938-02-06,,Dutch,,False,346622,Zwarte Viooltjes,NL,August Baeyens,1937,Zwarte Viooltjes,operette,NL,1937-1938
1542,1937-1938_00187-20230218_164359.jpg,1937-1938,Hoffman’s Vertellingen,1938-02-06,,Dutch,,False,236315,Hoffman’s Vertellingen,N/A,N/A,N/A,N/A,N/A,N/A,1937-1938
1544,1937-1938_00189-20230218_164412.jpg,1937-1938,Tosca,1938-02-08,gala,Dutch,,False,829961,Tosca,ITA,Giacomo Puccini,1900,Tosca,verismo opera,Unk,1937-1938
1546,1937-1938_00191-20230218_164433.jpg,1937-1938,Manon,1938-02-10,,Dutch,,False,182483,Manon,FR,Jules Massenet,1884,Manon,komische oper,NL,1937-1938
1548,1937-1938_00193-20230218_164449.jpg,1937-1938,Manon,1938-02-12,,Dutch,,False,920960,Manon,FR,Jules Massenet,1884,Manon,komische oper,NL,1937-1938
1550,1937-1938_00195-20230218_164512.jpg,1937-1938,Rigoletto,1938-02-13,,Dutch,,False,853967,Rigoletto,ITA,Giuseppe Verdi,1851,Rigoletto,melodrama,Unk,1937-1938
