,Image,Collection,Production,Date,Occasion,Multiple bill,Performances_ID,Normalised title,Original language,Composer,Original premiere,Original title,genre,Season,Directors,Title_Language
72,K.V.O. programmas 1893-97_00155-20211201_120207.jpg,1893-1897,De Vliegende Hollander,1894-12-07,,False,728287,De Vliegende Hollander,DEE,Richard Wagner,1843,Der fliegende Holländer,romantische oper,1894-1895,Edward Keurvels & Henry Fontaine,NL
73,K.V.O. programmas 1893-97_00157-20211201_120230.jpg,1893-1897,Ondine,1894-12-08,,False,260586,Ondine,DUI,Albert Lortzing,1845,Undine,toverzangspel,1894-1895,Edward Keurvels & Henry Fontaine,Unk
74,K.V.O. programmas 1893-97_00159-20211201_120249.jpg,1893-1897,Ondine,1894-12-11,,False,406069,Ondine,DUI,Albert Lortzing,1845,Undine,toverzangspel,1894-1895,Edward Keurvels & Henry Fontaine,Unk
75,K.V.O. programmas 1893-97_00161-20211201_120327.jpg,1893-1897,Ondine,1894-12-15,Gala-vertoning,False,626838,Ondine,DUI,Albert Lortzing,1845,Undine,toverzangspel,1894-1895,Edward Keurvels & Henry Fontaine,Unk
76,K.V.O. programmas 1893-97_00163-20211201_120347.jpg,1893-1897,Czaar en Timmerman,1894-12-26,,False,169068,Czaar en Timmerman,DUI,Albert Lortzing,1837,Zar und Zimmermann,zangspel,1894-1895,Edward Keurvels & Henry Fontaine,NL
77,K.V.O. programmas 1893-97_00165-20211201_120410.jpg,1893-1897,Jeanne D'Arc,1894-12-18,,False,847741,Jeanne D'Arc,FR,Charles Gounod,1873,Jeanne d'Arc,tragédie lyrique,1894-1895,Edward Keurvels & Henry Fontaine,Unk
78,K.V.O. programmas 1893-97_00167-20211201_120433.jpg,1893-1897,Ondine,1894-12-22,,False,617510,Ondine,DUI,Albert Lortzing,1845,Undine,toverzangspel,1894-1895,Edward Keurvels & Henry Fontaine,Unk
79,K.V.O. programmas 1893-97_00169-20211201_120453.jpg,1893-1897,Ondine,1894-12-25,,False,611480,Ondine,DUI,Albert Lortzing,1845,Undine,toverzangspel,1894-1895,Edward Keurvels & Henry Fontaine,Unk
80,K.V.O. programmas 1893-97_00171-20211201_120547.jpg,1893-1897,Czaar en Timmerman,1894-12-29,,False,732509,Czaar en Timmerman,DUI,Albert Lortzing,1837,Zar und Zimmermann,zangspel,1894-1895,Edward Keurvels & Henry Fontaine,NL
81,K.V.O. programmas 1893-97_00173-20211201_120608.jpg,1893-1897,Ondine,1895-01-02,,False,254828,Ondine,DUI,Albert Lortzing,1845,Undine,toverzangspel,1894-1895,Edward Keurvels & Henry Fontaine,Unk
82,K.V.O. programmas 1893-97_00175-20211201_120633.jpg,1893-1897,De Vliegende Hollander,1895-01-02,Volgens de nota van Verbruggen is deze voorstelling afgelast,False,453546,De Vliegende Hollander,DEE,Richard Wagner,1843,Der fliegende Holländer,romantische oper,1894-1895,Edward Keurvels & Henry Fontaine,NL
83,K.V.O. programmas 1893-97_00177-20211201_120703.jpg,1893-1897,De Vliegende Hollander,1895-01-05,,False,529049,De Vliegende Hollander,DEE,Richard Wagner,1843,Der fliegende Holländer,romantische oper,1894-1895,Edward Keurvels & Henry Fontaine,NL
