Date	Production
25/7/1943	De Vogelhandelaar
27/7/1943	De Vledermuis
29/7/1943	Cavalleria Rusticana
29/7/1943	Paljas
29/7/1943	De Vogelhandelaar
31/7/1943	Raul der Sabinerinnen
12/8/1943	Studiedag jeugd op leiding
12/8/1943	Studiedag jeugd op leiding
22/8/1943	IJzebevaartherdenking
8/9/1943	Madame Butterfly
19/9/1943	Vor suppé bis Keude 
24/9/1943	Wereldrevue
26/9/1943	Feest der meesters haarkappers: ‘défilé des coiffeuse’
26/9/1943	Gezellig samenzijn
30/9/1943	Herbergprinses
3/10/1943	De Parelvissers
3/10/1943	Paganini
4/10/1943	Symfonieconcert
5/10/1943	Herbergprinses
7/10/1943	Paganini
8/10/1943	Dansavond Sergé Lifar
10/10/1943	Madame Butterfly
10/10/1943	Herbergprinses
12/10/1943	Paganini
14/10/1943	De Parelvissers
17/10/1943	Paganini
17/10/1943	Madame Butterfly
18/10/1943	Concert Duitse Wehrmacht
19/10/1943	De Parelvissers
21/10/1943	Madame Butterfly
24/10/1943	Herbergprinses
24/10/1943	De Parelvissers
26/10/1943	Madame Butterfly
28/10/1943	De Tsarewitsch 
30/10/1943	Privaat feest door Unie der hand- en geestesarbeiders 
31/10/1943	De Tsarewitsch 
31/10/1943	De Neef uit het Oosten
2/11/1943	De Neef uit het Oosten
4/11/1943	De Neef uit het Oosten
6/11/1943	De Tsarewitsch 
7/11/1943	De Neef uit het Oosten
7/11/1943	De Tsarewitsch 
8/11/1943	Ontvangst filmstar Heinrich George
8/11/1943	Der Rechter von Zakamer 
9/11/1943	De Tsarewitsch 
11/11/1943	De Barbier van Sevilla
12/11/1943	2 de Symfonieconcert 
14/11/1943	Bal in de opera 
14/11/1943	De Barbier van Sevilla
16/11/1943	De Barbier van Sevilla
18/11/1943	Bal in de opera 
19/11/1943	Weermachtconcert bonte avond: Schlag auf Schlag
20/11/1943	Weermachtconcert bonte avond: Schlag auf Schlag
21/11/1943	Paganini
21/11/1943	Bal in de opera 
23/11/1943	Bal in de opera 
25/11/1943	De Vlinder
25/11/1943	Ballet Pan
25/11/1943	Salomé 
28/11/1943	De Barbier van Sevilla
28/11/1943	Ballet Pan
28/11/1943	Salomé 
30/11/1943	Ballet Pan
30/11/1943	Salomé 
2/12/1943	Paganini
5/12/1943	Sint Niklaasfeest VNV 
5/12/1943	Salomé 
5/12/1943	Ballet Pan
5/12/1943	De Tsarewitsch 
7/12/1943	Orpheus
9/12/1943	Orpheus
11/12/1943	Sint Niklaasfeest der Wapen SS 
11/12/1943	Zaterdagavondconcert
12/12/1943	De Tsarewitsch 
12/12/1943	Orpheus
14/12/1943	Paganini
16/12/1943	De Tsarewitsch 
17/12/1943	3 de Symfonieconcert 
18/12/1943	De Barbier van Sevilla
19/12/1943	Knokkelbeen
19/12/1943	Paganini
21/12/1943	De Tsarewitsch 
23/12/1943	Knokkelbeen
25/12/1943	De Tsarewitsch 
25/12/1943	Kerstfeest Vlaamschen Toeristenbond 
25/12/1943	Werther
26/12/1943	Werther
26/12/1943	Knokkelbeen
27/12/1943	Kerstfeest door De Vlag
28/12/1943	Knokkelbeen
30/12/1943	Klaasfeest
30/12/1943	Kinderfeest door Rode Kruis ten voordele van kinderen der krijgsgevangenen 
30/12/1943	Werther
2/1/1944	Peperbol
2/1/1944	Werther
3/1/1944	Peperbol
4/1/1944	Feest voor het stadspersoneel 
4/1/1944	Werther
6/1/1944	Peperbol
8/1/1944	Bal in de Opera 
9/1/1944	Werther
9/1/1944	Bal in de Opera 
10/1/1944	Symfonisch concert 
11/1/1944	Peperbol
13/1/1944	Bal in de Opera 
16/1/1944	Manon
16/1/1944	Peperbol
18/1/1944	Bal in de Opera 
20/1/1944	Manon
23/1/1944	Bal in de Opera 
23/1/1944	Faust
25/1/1944	Manon
25/1/1944	Werther
27/1/1944	Faust
29/1/1944	Kaart - en schaaktoernooi 
29/1/1944	Manon
30/1/1944	Madame Dubarry
30/1/1944	Manon
1/2/1944	Faust
3/2/1944	Madame Dubarry
6/2/1944	Faust
6/2/1944	Madame Dubarry
7/2/1944	5 de Symfonieconcert 
8/2/1944	Madame Dubarry
10/2/1944	Orpheus
12/2/1944	Concertavond: Volksconcert 
13/2/1944	De Lustige Weduwe
13/2/1944	Manon
15/2/1944	Lohengrin
17/2/1944	De Lustige Weduwe
20/2/1944	Lohengrin
20/2/1944	De Lustige Weduwe
22/2/1944	De Lustige Weduwe
24/2/1944	Peperbol
26/2/1944	Weermachtconcert
27/2/1944	Lohengrin
27/2/1944	Madame Dubarry
28/2/1944	Dansavond José Torrès 
29/2/1944	Madame Dubarry
1/3/1944	Lohengrin
2/3/1944	Lohengrin
